# Generated by tools/models/license_audit.py - do not edit by hand.
# Per-file redistribution findings across models/spice/.
# severity=restricted means the file must not ship in a distributed
# build and must not be embedded in the binary.
# pack	path	marker	severity	line	definitions	evidence
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30sljq030.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35cgq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35cgq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35clq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35clq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40cpq060.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40cpq060.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps08.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps08.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps12.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps12.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps16.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps16.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/50wq06fn.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/50wq06fn.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/60lq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/60lq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/60lq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/60lq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/6cwq10fn.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/6cwq10fn.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/6tq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/6tq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/75lq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/75lq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/75slq030.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/75slq030.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/80clq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/80clq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/80ebu02.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/80ebu02.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8eth06.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8eth06.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews08.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews08.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews10.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews10.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews12.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/8ews12.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/90clq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/90clq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/9530n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/9530n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/IRL3803.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/IRL3803.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/IRL640S.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/IRL640S.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/Igbtign.spi	commercial-use-restricted	restricted	14	8	*Commercial Use or Resale Restricted
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/Igbtign.spi	unpublished-proprietary	review	10	8	*UNPUBLISHED LICENSED SOFTWARE
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/a57260se.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/a57260se.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/cpv364m4k.spi	commercial-use-restricted	restricted	10	5	*Commercial Use or Resale Restricted *
